osmid,y,x,street_count,geometry
33238720,48.2017709,16.3252732,3,POINT (16.3252732 48.2017709)
33238713,48.2035289,16.3262582,4,POINT (16.3262582 48.2035289)
16614534,48.1994058,16.332257,4,POINT (16.332257 48.1994058)
16614536,48.2004909,16.3315914,4,POINT (16.3315914 48.2004909)
31673339,48.1996912,16.3332979,4,POINT (16.3332979 48.1996912)
33208005,48.1991178,16.3312254,4,POINT (16.3312254 48.1991178)
33208011,48.1981954,16.333016,4,POINT (16.333016 48.1981954)
33238735,48.201083,16.3315748,3,POINT (16.3315748 48.201083)
31257514,48.2007916,16.3326268,3,POINT (16.3326268 48.2007916)
388103065,48.200229,16.3306641,3,POINT (16.3306641 48.200229)
16614537,48.2043967,16.3313142,4,POINT (16.3313142 48.2043967)
32637461,48.2056515,16.3317388,4,POINT (16.3317388 48.2056515)
16614538,48.2068589,16.3321475,4,POINT (16.3321475 48.2068589)
17312841,48.2081366,16.3325799,3,POINT (16.3325799 48.2081366)
17312821,48.2070107,16.3311621,4,POINT (16.3311621 48.2070107)
16614540,48.2094137,16.3330136,4,POINT (16.3330136 48.2094137)
25280481,48.210419,16.3333456,4,POINT (16.3333456 48.210419)
1991433240,48.2095635,16.3320306,3,POINT (16.3320306 48.2095635)
16614541,48.2092769,16.333911,3,POINT (16.333911 48.2092769)
25267592,48.2086374,16.3336933,3,POINT (16.3336933 48.2086374)
27399706,48.2090425,16.3354337,3,POINT (16.3354337 48.2090425)
16614542,48.2079979,16.3334756,4,POINT (16.3334756 48.2079979)
16614543,48.2066395,16.3335981,4,POINT (16.3335981 48.2066395)
25267590,48.2077615,16.3350018,4,POINT (16.3350018 48.2077615)
2031964359,48.2081087,16.3327599,1,POINT (16.3327599 48.2081087)
33240957,48.2060028,16.3336562,3,POINT (16.3336562 48.2060028)
16614544,48.2022099,16.3314709,3,POINT (16.3314709 48.2022099)
33238737,48.2028439,16.331417,3,POINT (16.331417 48.2028439)
16617007,48.1978377,16.3367061,3,POINT (16.3367061 48.1978377)
31257545,48.1990173,16.3359649,3,POINT (16.3359649 48.1990173)
33240927,48.1975988,16.3357797,3,POINT (16.3357797 48.1975988)
16617008,48.2002171,16.3351851,3,POINT (16.3351851 48.2002171)
33240931,48.1999539,16.3342385,4,POINT (16.3342385 48.1999539)
17312819,48.2050028,16.3273358,4,POINT (16.3273358 48.2050028)
33238681,48.2043588,16.32714,4,POINT (16.32714 48.2043588)
20966603,48.2062572,16.3277427,4,POINT (16.3277427 48.2062572)
17312824,48.2076127,16.3272157,4,POINT (16.3272157 48.2076127)
32637464,48.2058013,16.3307506,4,POINT (16.3307506 48.2058013)
32637436,48.2071693,16.3301396,4,POINT (16.3301396 48.2071693)
17312822,48.2045409,16.3303218,3,POINT (16.3303218 48.2045409)
33238710,48.2045286,16.3304125,3,POINT (16.3304125 48.2045286)
20966602,48.2064032,16.3268042,4,POINT (16.3268042 48.2064032)
24966959,48.2100193,16.3290408,4,POINT (16.3290408 48.2100193)
33079252,48.2107423,16.3285498,4,POINT (16.3285498 48.2107423)
423816203,48.2093867,16.3278219,3,POINT (16.3278219 48.2093867)
32637448,48.206696,16.3248761,3,POINT (16.3248761 48.206696)
17312834,48.2011662,16.3267559,4,POINT (16.3267559 48.2011662)
33238684,48.2002468,16.3270782,4,POINT (16.3270782 48.2002468)
33238683,48.2017981,16.3266299,4,POINT (16.3266299 48.2017981)
17312836,48.2085805,16.3381316,4,POINT (16.3381316 48.2085805)
33079227,48.2080136,16.3377492,3,POINT (16.3377492 48.2080136)
17312837,48.2084499,16.3388375,4,POINT (16.3388375 48.2084499)
2423397431,48.2085666,16.338893,4,POINT (16.338893 48.2085666)
3310442552,48.2084566,16.3391389,3,POINT (16.3391389 48.2084566)
17312838,48.2076071,16.3359985,4,POINT (16.3359985 48.2076071)
17312839,48.207397,16.3373546,3,POINT (16.3373546 48.207397)
25267597,48.2082867,16.3315962,4,POINT (16.3315962 48.2082867)
17312842,48.2067027,16.3512679,3,POINT (16.3512679 48.2067027)
319797455,48.2065972,16.3501485,1,POINT (16.3501485 48.2065972)
