u,v,geometry
2147779389,278317733,"LINESTRING (16.358467 48.2063424, 16.3585378 48.2064107, 16.3585734 48.2064451, 16.3586191 48.2064707, 16.3589372 48.206649, 16.359098 48.2067436, 16.3593284 48.2068768, 16.3594489 48.2069545, 16.3594923 48.2069826, 16.3595797 48.2069925, 16.3596428 48.2069953, 16.3597284 48.206966)"
199604,17313048,"LINESTRING (16.3591809 48.2058013, 16.3591074 48.2057588, 16.358444 48.2053559, 16.3581537 48.205182, 16.3581244 48.2051649, 16.3580741 48.2051356)"
393334,199474,"LINESTRING (16.3637175 48.2039361, 16.3638183 48.2038677, 16.363903 48.2038067, 16.3640214 48.2037262)"
17313048,24967124,"LINESTRING (16.3580741 48.2051356, 16.3580251 48.2051707, 16.3580086 48.205182, 16.3579939 48.2051921, 16.3579402 48.2052289, 16.3578839 48.2052677, 16.3575543 48.2055133, 16.3574742 48.205573, 16.3573648 48.2056545)"
17313048,394283,"LINESTRING (16.3580741 48.2051356, 16.3579575 48.2050737, 16.3578935 48.205039, 16.3578342 48.2050069, 16.3577605 48.2049658, 16.3577373 48.2049531, 16.3576663 48.204914, 16.3572652 48.204731, 16.3569185 48.2045729)"
199474,392479,"LINESTRING (16.3640214 48.2037262, 16.3640541 48.2037039, 16.3642312 48.2035814, 16.3643365 48.2035365)"
24967124,33183691,"LINESTRING (16.3573648 48.2056545, 16.3572484 48.2057401, 16.3566342 48.2061916, 16.3560943 48.2066298, 16.3559035 48.2067945, 16.3558556 48.2068359, 16.3558166 48.2068733, 16.3557943 48.2068947, 16.3557376 48.2069604)"
24967124,2147779389,"LINESTRING (16.3573648 48.2056545, 16.3574131 48.2056831, 16.3574531 48.2057068, 16.3574978 48.2057333, 16.3577734 48.2058967, 16.3582752 48.2061941, 16.3583738 48.2062525, 16.3584166 48.2062938, 16.358467 48.2063424)"
394283,31256745,"LINESTRING (16.3569185 48.2045729, 16.3565897 48.2044491, 16.3565404 48.2044324)"
394283,24967120,"LINESTRING (16.3569185 48.2045729, 16.3568737 48.2046241, 16.3568607 48.2046379, 16.3568531 48.2046476, 16.3568094 48.204703, 16.3561842 48.2054959)"
31256745,1575887158,"LINESTRING (16.3565404 48.2044324, 16.3565237 48.2044296, 16.3563727 48.2044038, 16.3557414 48.2042958)"
24967120,24967124,"LINESTRING (16.3561842 48.2054959, 16.3562905 48.2055059, 16.3566773 48.2055452, 16.3570684 48.2055794, 16.3571188 48.2055842, 16.3572143 48.2055932, 16.3573648 48.2056545)"
199600,1833706351,"LINESTRING (16.3658895 48.2031811, 16.3658042 48.2030098, 16.3657806 48.2029624, 16.3655218 48.2024425)"
199600,685115,"LINESTRING (16.3658895 48.2031811, 16.367634 48.2027905, 16.3678732 48.2027436, 16.3679862 48.2027215)"
1833706351,1833706349,"LINESTRING (16.3655218 48.2024425, 16.3656484 48.2024166, 16.3657736 48.2023886, 16.3664389 48.2022364)"
685115,30677597,"LINESTRING (16.3679862 48.2027215, 16.3679544 48.2026645, 16.3679113 48.2025709, 16.3678942 48.2025225, 16.3678693 48.202443, 16.3677793 48.2022641, 16.3676429 48.2019932)"
685115,34591548,"LINESTRING (16.3679862 48.2027215, 16.3681071 48.2026985, 16.3682319 48.2026711, 16.3682832 48.2026599, 16.3684103 48.202632, 16.3687205 48.202564, 16.3689673 48.2025098, 16.3692806 48.2024412, 16.3693123 48.2024342, 16.369666 48.2023464)"
1833706349,1833706345,"LINESTRING (16.3664389 48.2022364, 16.3662854 48.2019227, 16.3661212 48.201587)"
1833706349,30677597,"LINESTRING (16.3664389 48.2022364, 16.3667081 48.2022, 16.3676429 48.2019932)"
30677597,289468565,"LINESTRING (16.3676429 48.2019932, 16.3675714 48.201853, 16.3673534 48.2014252, 16.3673358 48.2013906, 16.3673061 48.2013323)"
34591548,33182965,"LINESTRING (16.369666 48.2023464, 16.3696992 48.2023926, 16.3697574 48.2024694, 16.3697736 48.2024926, 16.3698126 48.2025628, 16.3698605 48.2026465, 16.3699621 48.2028409, 16.370071 48.2030525, 16.3703032 48.2035172, 16.3703259 48.2035914)"
34591548,21095351,"LINESTRING (16.369666 48.2023464, 16.369772 48.2023198, 16.3698051 48.2023115, 16.3698748 48.2022944, 16.3700282 48.2022605, 16.3713838 48.2019457, 16.3714535 48.2019304, 16.3714944 48.201921)"
1833706345,279923700,"LINESTRING (16.3661212 48.201587, 16.3659452 48.2012487, 16.3658556 48.2010764, 16.3657443 48.200847)"
1833706345,276540092,"LINESTRING (16.3661212 48.201587, 16.3653132 48.2017663, 16.3645286 48.201948)"
279923700,199605,"LINESTRING (16.3657443 48.200847, 16.3647695 48.2010495, 16.3647306 48.2010587)"
276540092,48753778,"LINESTRING (16.3645286 48.201948, 16.3641536 48.2012102)"
276540092,61677877,"LINESTRING (16.3645286 48.201948, 16.3634388 48.2022745, 16.3633378 48.2023232)"
